Industry,Year,Operational Activity,Disabling Injuries,Fatal Injuries,Minor Injuries,Total Injuries,Total number of employees,Number of office employees,Total Hours Worked,Disabling Injuries Incidence Rate (2),Injury Incidence Rate (3),Fatal Injuries Incidence Rate (4),Disabling Injuries Frequency Rate (5),Injury Frequency Rate (6),Fatal Injury Frequency Rate (7)
Air Transportation,2020,Off-board,1463,1,2945,4409,57901,21088,113196640,2.53,7.61,1.73,12.93,38.95,8.83
Air Transportation,2020,On-board,312,1,565,878,10405,0,19991574,3.01,8.44,9.61,15.66,43.92,50.02
Air Transportation,2020,Total,1775,2,3510,5287,68306,21088,133188214,2.6,7.74,2.93,13.34,39.7,15.02
Air Transportation,2019,Off-board,2908,2,4310,7220,98765,39981,193363010,2.95,7.31,2.03,15.05,37.34,10.34
Air Transportation,2019,On-board,603,9,507,1119,17955,0,35310137,3.41,6.23,50.13,17.33,31.69,254.88
Air Transportation,2019,Total,3511,11,4817,8339,116720,39981,228673147,3.02,7.14,9.42,15.4,36.47,48.1
Air Transportation,2018,Off-board,2938,0,3623,6561,90055,30441,179189262,3.26,7.29,0,16.4,36.61,0
Air Transportation,2018,On-board,671,5,1580,2256,21986,0,42615570,3.07,10.26,22.74,15.86,52.94,117.33
Air Transportation,2018,Total,3609,5,5203,8817,112041,30441,221804832,3.23,7.87,4.46,16.29,39.75,22.54
Air Transportation,2017,Off-board,2359,3,4397,6759,74253,26210,"146,007,889",3.18,9.1,4.04,16.18,46.29,20.55
Air Transportation,2017,On-board,609,3,1054,1666,21174,0,"39,545,834",2.89,7.87,14.17,15.48,42.13,75.86
Air Transportation,2017,Total,2968,6,5451,8425,95427,26210,185553723,3.12,8.83,6.29,16.03,45.4,32.34
Air Transportation,2016,Off-board,2174,3,6507,8684,72629,22765,141903397,3,11.96,4.13,15.34,61.2,21.14
Air Transportation,2016,On-board,611,1,2136,2748,23226,0,33268020,2.63,11.83,4.31,18.4,82.6,30.06
Air Transportation,2016,Total,2785,4,8643,11432,95855,22765,175171417,2.91,11.93,4.17,15.92,65.26,22.83
Air Transportation,2015,Off-board,2604,2,5558,8164,79007,24544,152281640,3.3,10.33,2.53,17.11,53.61,13.13
Air Transportation,2015,On-board,557,6,1515,2078,20529,0,37401269,2.74,10.12,29.23,15.05,55.56,160.42
Air Transportation,2015,Total,3161,8,7073,10242,99536,24544,189682909,3.18,10.29,8.04,16.71,54,42.18
Air Transportation,2014,Off-board,2356,2,5347,7705,73932,26505,141419330,3.19,10.42,2.71,16.67,54.48,14.14
Air Transportation,2014,On-board,508,2,1628,2138,28301,0,37352876,1.8,7.55,7.07,13.65,57.24,53.54
Air Transportation,2014,Total,2864,4,6975,9843,102233,26505,178772206,2.81,9.63,3.91,16.04,55.06,22.37
Air Transportation,2013,Off-board,2544,3,3782,6329,64799,22584,127252842,3.93,9.77,4.63,20.02,49.74,23.58
Air Transportation,2013,On-board,525,11,1101,1637,25166,0,34626760,2.13,6.5,43.71,15.48,47.28,317.67
Air Transportation,2013,Total,3069,14,4883,7966,89965,22584,161879602,3.43,8.85,15.56,19.05,49.21,86.48
Air Transportation,2012,Off-board,2855,2,6776,9633,80407,36537,142346709,3.55,11.98,2.49,20.07,67.67,14.05
Air Transportation,2012,On-board,722,3,2595,3320,27049,0,37179324,2.68,12.27,11.09,19.5,89.3,80.69
Air Transportation,2012,Total,3577,5,9371,12953,107456,36537,179526033,3.33,12.05,4.65,19.95,72.15,27.85
Air Transportation,2011,Off-board,2994,0,5948,8942,64298,33155,122092109,4.66,13.91,0,24.52,73.24,0
Air Transportation,2011,On-board,484,10,2623,3117,21925,0,28263468,2.25,14.22,45.61,17.48,110.28,353.81
Air Transportation,2011,Total,3478,10,8571,12059,86223,33155,150355577,4.05,13.99,11.6,23.2,80.2,66.51
Air Transportation,2010,Off-board,2558,1,4382,6941,63323,32167,118815515,4.04,10.96,1.58,21.54,58.42,8.42
Air Transportation,2010,On-board,611,6,1910,2527,22653,0,24445266,2.72,11.16,26.49,25.24,103.37,245.45
Air Transportation,2010,Total,3169,7,6292,9468,85976,32167,143260781,3.69,11.01,8.14,22.17,66.09,48.86
Air Transportation,2009,Off-board,3062,3,5934,8999,68647,19913,132495428,4.46,13.11,4.37,23.13,67.92,22.64
Air Transportation,2009,On-board,510,4,2050,2564,22070,0,20390360,2.33,11.62,18.12,25.21,125.75,196.17
Air Transportation,2009,Total,3572,7,7984,11563,90717,19913,152885788,3.95,12.75,7.72,23.41,75.63,45.79
Air Transportation,2008,Off-board,3500,4,5961,9465,73215,21611,148776008,4.79,12.93,5.46,23.55,63.62,26.89
Air Transportation,2008,On-board,568,3,2168,2739,18612,0,26369798,3.07,14.72,16.12,21.65,103.87,113.77
Air Transportation,2008,Total,4068,7,8129,12204,91827,21611,175145806,4.44,13.29,7.62,23.27,69.68,39.97
Banking/Banks,2020,,872,0,972,1844,234465,233248,452791166,0.37,0.79,0,1.93,4.07,0
Banking/Banks,2019,,822,0,1189,2011,236946,236388,455464275,0.35,0.85,0,1.8,4.42,0
Banking/Banks,2018,,803,2,946,1751,253053,251057,488620016,0.32,0.69,0.79,1.65,3.58,4.09
Banking/Banks,2017,,821,4,865,1690,225514,223366,"436,107,679",0.37,0.75,1.77,1.89,3.88,9.17
Banking/Banks,2016,,907,1,778,1686,228015,224482,442892533,0.4,0.74,0.44,2.05,3.81,2.26
Banking/Banks,2015,,830,1,926,1757,232713,228822,446684278,0.36,0.76,0.43,1.86,3.93,2.24
Banking/Banks,2014,,917,0,1006,1923,215345,212597,414968060,0.43,0.89,0,2.21,4.63,0
Banking/Banks,2013,,822,1,1240,2063,238781,235210,455234690,0.34,0.86,0.42,1.81,4.53,2.2
Banking/Banks,2012,,547,0,1113,1660,206182,202407,392939682,0.27,0.81,0,1.39,4.22,0
Banking/Banks,2011,,416,2,1094,1512,228715,224386,454071479,0.18,0.66,0.87,0.92,3.33,4.4
Banking/Banks,2010,,393,0,881,1274,231085,226222,402193147,0.17,0.55,0,0.98,3.17,0
Banking/Banks,2009,,389,0,1011,1400,204712,199847,377302400,0.19,0.68,0,1.03,3.71,0
Banking/Banks,2008,,398,0,1173,1571,220330,216961,377617072,0.18,0.71,0,1.05,4.16,0
"Broadcasting (Television, Radio, Internet)",2020,,249,1,263,513,21828,18402,41732823,1.15,2.35,4.58,5.99,12.29,23.96
"Broadcasting (Television, Radio, Internet)",2019,,325,2,550,877,27608,22312,55708589,1.18,3.18,7.24,5.87,15.74,35.9
"Broadcasting (Television, Radio, Internet)",2018,,353,5,488,846,29081,23663,56946888,1.23,2.91,17.19,6.29,14.86,87.8
"Broadcasting (Television, Radio, Internet)",2017,,225,3,550,778,29627,25454,"57,096,610",0.77,2.63,10.13,3.99,13.63,52.54
"Broadcasting (Television, Radio, Internet)",2016,,239,1,534,774,30835,25004,61164993,0.78,2.51,3.24,3.92,12.65,16.35
"Broadcasting (Television, Radio, Internet)",2015,,271,0,572,843,33655,20016,63478837,0.81,2.5,0,4.27,13.28,0
"Broadcasting (Television, Radio, Internet)",2014,,430,2,763,1195,38342,23385,72199680,1.13,3.12,5.22,5.98,16.55,27.7
"Broadcasting (Television, Radio, Internet)",2013,,480,0,806,1286,61063,51323,108849093,0.79,2.11,0,4.41,11.81,0
"Broadcasting (Television, Radio, Internet)",2012,,522,0,931,1453,60915,46062,115598787,0.86,2.39,0,4.52,12.57,0
"Broadcasting (Television, Radio, Internet)",2011,,441,0,877,1318,57771,40531,90980963,0.76,2.28,0,4.85,14.49,0
"Broadcasting (Television, Radio, Internet)",2010,,243,1,660,904,57893,46844,74258759,0.42,1.56,1.73,3.29,12.17,13.47
"Broadcasting (Television, Radio, Internet)",2009,,349,1,641,991,42576,32718,80534930,0.82,2.33,2.35,4.35,12.31,12.42
"Broadcasting (Television, Radio, Internet)",2008,,364,1,572,937,36325,22409,65134518,1,2.58,2.75,5.6,14.39,15.35
Communications,2020,,687,2,872,1561,87771,66431,186664738,0.78,1.78,2.28,3.69,8.36,10.71
Communications,2019,,801,2,880,1683,75256,58332,158901903,1.07,2.24,2.66,5.05,10.59,12.59
Communications,2018,,1081,1,1220,2302,93431,70389,195194131,1.16,2.46,1.07,5.54,11.79,5.12
Communications,2017,,1123,1,1340,2464,93731,71472,"192,408,016",1.2,2.63,1.07,5.84,12.81,5.2
Communications,2016,,967,0,1251,2218,80745,58395,159433025,1.2,2.75,0,6.07,13.91,0
Communications,2015,,972,0,1315,2287,97450,76547,189653592,1,2.35,0,5.13,12.06,0
Communications,2014,,874,1,1011,1886,99377,79490,193546056,0.88,1.9,1.01,4.52,9.74,5.17
Communications,2013,,914,0,1372,2286,87041,67674,167155448,1.05,2.63,0,5.47,13.68,0
Communications,2012,,874,2,1393,2269,95237,79940,182409022,0.92,2.38,2.1,4.8,12.44,10.96
Communications,2011,,603,3,915,1521,77112,61853,146955086,0.79,1.97,3.89,4.12,10.35,20.41
Communications,2010,,624,0,818,1442,82549,62070,155601115,0.76,1.75,0,4.01,9.27,0
Communications,2009,,633,0,1178,1811,82807,65524,154871916,0.76,2.19,0,4.09,11.69,0
Communications,2008,,827,2,1046,1875,78438,60556,155765029,1.06,2.39,2.55,5.32,12.04,12.84
Crown Corporations,2017,,268,1,469,738,35019,24546,"69,549,450",0.77,2.11,2.86,3.87,10.61,14.38
Crown Corporations,2016,,203,1,555,759,34082,25243,66645155,0.6,2.23,2.93,3.06,11.39,15
Crown Corporations,2015,,258,1,731,990,31364,24637,60674498,0.83,3.16,3.19,4.27,16.32,16.48
Crown Corporations,2014,,246,0,582,828,34870,26809,62706336,0.71,2.37,0,3.92,13.2,0
Crown Corporations,2013,,280,0,714,994,35613,21911,65722548,0.79,2.79,0,4.26,15.12,0
Crown Corporations,2012,,296,0,760,1056,35722,21984,66440991,0.83,2.96,0,4.46,15.89,0
Crown Corporations,2011,,261,0,512,773,35140,21982,74972449,0.74,2.2,0,3.48,10.31,0
Crown Corporations,2010,,214,0,648,862,31957,18825,57193410,0.67,2.7,0,3.74,15.07,0
Crown Corporations,2009,,247,0,551,798,32833,20460,60527789,0.75,2.43,0,4.08,13.18,0
Crown Corporations,2008,,298,2,607,907,33327,20489,62801242,0.9,2.72,6,4.78,14.44,31.85
Energy/Mining/Mineral Processing,2020,,10,0,14,24,2557,1384,4871893,0.39,0.94,0,2.05,4.93,0
Energy/Mining/Mineral Processing,2019,,14,0,21,35,2941,1570,5678304,0.48,1.19,0,2.47,6.16,0
Energy/Mining/Mineral Processing,2018,,15,0,105,120,2354,1518,4504089,0.64,5.1,0,3.33,26.64,0
Energy/Mining/Mineral Processing,2017,,4,0,25,29,2665,1525,"4,607,615",0.15,1.09,0,0.87,6.29,0
Energy/Mining/Mineral Processing,2016,,21,0,90,111,3162,1663,5688093,0.66,3.51,0,3.69,19.51,0
Energy/Mining/Mineral Processing,2015,,14,0,95,109,2848,1382,5053552,0.49,3.83,0,2.77,21.57,0
Energy/Mining/Mineral Processing,2014,,14,0,114,128,2687,1444,5506349,0.52,4.76,0,2.54,23.25,0
Energy/Mining/Mineral Processing,2013,,1,0,114,115,2500,1591,4885935,0.04,4.6,0,0.2,23.54,0
Energy/Mining/Mineral Processing,2012,,15,0,159,174,2994,1728,5254882,0.5,5.81,0,2.85,33.11,0
Energy/Mining/Mineral Processing,2011,,19,0,113,132,1300,563,2397727,1.46,10.15,0,7.92,55.05,0
Energy/Mining/Mineral Processing,2010,,8,0,132,140,1229,391,2259156,0.65,11.39,0,3.54,61.97,0
Energy/Mining/Mineral Processing,2009,,3,1,151,155,1955,308,3490206,0.2,7.93,51.15,1.15,44.41,286.52
Energy/Mining/Mineral Processing,2008,,3,0,131,134,1629,375,2825539,0.18,8.23,0,1.06,47.42,0
Federal Public Services/Public Service Departments/Crown Corporations,2020,Off-board,2685,4,6041,8730,363095,288611,708825231,0.74,2.4,1.1,3.79,12.32,5.64
Federal Public Services/Public Service Departments/Crown Corporations,2020,On-board,125,0,164,289,2183,0,4148850,5.73,13.24,0,30.13,69.66,0
Federal Public Services/Public Service Departments/Crown Corporations,2020,Total,2810,4,6205,9019,365278,288611,712974081,0.77,2.47,1.1,3.95,12.65,5.61
Federal Public Services/Public Service Departments/Crown Corporations,2019,Off-board,3589,5,8114,11708,351083,281023,687767692,1.02,3.33,1.42,5.23,17.02,7.27
Federal Public Services/Public Service Departments/Crown Corporations,2019,On-board,136,0,204,340,1842,0,3627000,7.38,18.46,0,37.5,93.74,0
Federal Public Services/Public Service Departments/Crown Corporations,2019,Total,3725,5,8318,12048,352925,281023,691394692,1.06,3.41,1.42,5.39,17.43,7.23
Federal Public Services/Public Service Departments/Crown Corporations,2018,,2846,5,7432,10283,328103,263020,643615271,0.87,3.13,1.52,4.43,15.98,7.77
Public Service Departments,2017,,2838,6,6806,9650,295860,237655,"581,501,788",0.96,3.26,2.03,4.89,16.59,10.32
Public Service Departments,2016,,2626,10,7725,10361,289517,234262,566899762,0.91,3.58,3.45,4.65,18.28,17.64
Public Service Departments,2015,,2867,4,6697,9568,286669,231535,563823224,1,3.34,1.4,5.09,16.97,7.09
Public Service Departments,2014,,2475,9,7192,9676,293022,224885,574300360,0.85,3.3,3.07,4.33,16.85,15.67
Public Service Departments,2013,,2838,4,7636,10478,292874,223578,581859606,0.97,3.58,1.37,4.88,18.01,6.87
Public Service Departments,2012,,2888,4,6915,9807,306002,233210,595602288,0.95,3.2,1.31,4.86,16.47,6.72
Public Service Departments,2011,,3315,4,7147,10466,348655,230041,622725242,0.95,3,1.15,5.33,16.81,6.42
Public Service Departments,2010,,3263,7,7803,11073,311686,230833,610496631,1.05,3.55,2.25,5.36,18.14,11.47
Public Service Departments,2009,,3054,3,7768,10825,306828,225766,607962815,1,3.53,0.98,5.03,17.81,4.93
Public Service Departments,2008,,2844,2,7763,10609,298957,220244,602088167,0.95,3.55,0.67,4.73,17.62,3.32
"Feed, Flour and Seed",2020,,195,1,583,779,10249,3423,20794030,1.91,7.6,9.76,9.43,37.46,48.09
"Feed, Flour and Seed",2019,,223,1,549,773,9007,3303,18510877,2.49,8.58,11.1,12.1,41.76,54.02
"Feed, Flour and Seed",2018,,221,2,689,912,10043,3397,20240421,2.22,9.08,19.91,11.02,45.06,98.81
"Feed, Flour and Seed",2017,,148,2,733,883,9636,3275,"19,681,827",1.56,9.16,20.76,7.62,44.86,101.62
"Feed, Flour and Seed",2016,,224,0,714,938,10415,3455,21341662,2.15,9.01,0,10.5,43.95,0
"Feed, Flour and Seed",2015,,156,0,677,833,10140,3370,20386034,1.54,8.21,0,7.65,40.86,0
"Feed, Flour and Seed",2014,,194,2,700,896,10260,3004,20118013,1.91,8.73,19.49,9.74,44.54,99.41
"Feed, Flour and Seed",2013,,189,0,554,743,8423,2648,16519471,2.24,8.82,0,11.44,44.98,0
"Feed, Flour and Seed",2012,,194,0,610,804,8464,2351,16661611,2.29,9.5,0,11.64,48.25,0
"Feed, Flour and Seed",2011,,128,1,558,687,7310,1948,13292232,1.76,9.4,13.68,9.7,51.68,75.23
"Feed, Flour and Seed",2010,,171,0,519,690,7367,1959,13997533,2.32,9.37,0,12.22,49.29,0
"Feed, Flour and Seed",2009,,200,0,516,716,7135,1758,13734951,2.8,10.04,0,14.56,52.13,0
"Feed, Flour and Seed",2008,,260,0,695,955,8007,2104,16646288,3.25,11.93,0,15.62,57.37,0
Grain Handling/Grain Elevators,2020,,106,0,236,342,7233,2927,14807711,1.47,4.73,0,7.16,23.1,0
Grain Handling/Grain Elevators,2019,,92,0,165,257,7296,2867,14999695,1.26,3.52,0,6.13,17.13,0
Grain Handling/Grain Elevators,2018,,96,1,204,301,6955,2733,14103327,1.39,4.33,14.38,6.88,21.34,70.91
Grain Handling/Grain Elevators,2017,,123,1,194,318,7282,2603,"14,815,611",1.7,4.37,13.73,8.37,21.46,67.5
Grain Handling/Grain Elevators,2016,,125,0,240,365,7378,2746,15014798,1.69,4.95,0,8.33,24.31,0
Grain Handling/Grain Elevators,2015,,137,0,254,391,7116,2683,14756089,1.93,5.49,0,9.28,26.5,0
Grain Handling/Grain Elevators,2014,,52,1,206,259,5082,2057,10212526,1.04,5.1,19.68,5.19,25.36,97.92
Grain Handling/Grain Elevators,2013,,133,0,404,537,8090,3080,15718725,1.64,6.64,0,8.46,34.16,0
Grain Handling/Grain Elevators,2012,,167,0,346,513,8573,3111,18064598,1.95,5.98,0,9.24,28.4,0
Grain Handling/Grain Elevators,2011,,90,2,218,310,7184,3020,14349843,1.28,4.32,27.84,6.41,21.6,139.37
Grain Handling/Grain Elevators,2010,,138,0,156,294,7068,3063,14549152,1.95,4.16,0,9.49,20.21,0
Grain Handling/Grain Elevators,2009,,99,0,216,315,6038,2533,11786577,1.64,5.22,0,8.4,26.73,0
Grain Handling/Grain Elevators,2008,,139,0,216,355,6140,2461,11879433,2.26,5.78,0,11.7,29.88,0
Indigenous,2020,,97,0,521,618,21758,13715,39469664,0.45,2.84,0,2.46,15.66,0
Indigenous,2019,,90,1,490,581,20541,12808,37937768,0.44,2.83,4.87,2.4,15.31,26.36
Indigenous,2018,,169,3,653,825,24785,15022,47933931,0.69,3.33,12.1,3.59,17.21,62.59
Indigenous,2017,,141,3,572,716,20746,12783,"37,891,817",0.69,3.45,14.46,3.8,18.9,79.17
Indigenous,2016,,176,4,803,983,26436,15373,47649281,0.68,3.72,15.13,3.78,20.63,83.95
Indigenous,2015,,221,3,624,848,27993,16448,52842247,0.8,3.03,10.72,4.24,16.05,56.77
Indigenous,2014,,122,5,669,796,28003,15907,52811909,0.45,2.84,17.86,2.4,15.07,94.68
Indigenous,2013,,136,0,702,838,22918,12322,40071554,0.59,3.66,0,3.39,20.91,0
Indigenous,2012,,215,2,600,817,27111,15806,45958351,0.8,3.01,7.38,4.72,17.78,43.52
Indigenous,2011,,149,0,538,687,20442,10764,33923924,0.73,3.36,0,4.39,20.25,0
Indigenous,2010,,107,1,466,574,19045,9901,32543476,0.57,3.01,5.25,3.32,17.64,30.73
Indigenous,2009,,92,1,278,371,14432,7573,23148561,0.64,2.57,6.93,4.02,16.03,43.2
Indigenous,2008,,14,0,31,45,975,507,2132454,1.44,4.62,0,6.57,21.1,0
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2020,,0,0,17,17,257,141,533358,0,6.61,0,0,31.87,0
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2019,,4,0,17,21,445,277,840272,0.9,4.72,0,4.76,24.99,0
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2018,,2,0,1,3,432,254,823249,0.46,0.69,0,2.43,3.64,0
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2017,,3,0,12,15,208,45,"405,525",1.44,7.21,0,7.4,36.99,0
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2016,,3,0,19,22,445,201,818485,0.67,4.94,0,3.67,26.88,0
