Industry,Year,Operational Activity,Disabling Injuries,Fatal Injuries,Minor Injuries,Total Injuries,Total number of employees,Number of office employees,Total Hours Worked,Disabling Injuries Incidence Rate (2),Injury Incidence Rate (3),Fatal Injuries Incidence Rate (4),Disabling Injuries Frequency Rate (5),Injury Frequency Rate (6),Fatal Injury Frequency Rate (7)
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2015,,7,0,18,25,394,181,721060,1.78,6.35,0,9.71,34.67,0
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2014,,7,0,23,30,429,162,783476,1.63,6.99,0,8.93,38.29,0
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2013,,1,0,22,23,371,121,744460,0.27,6.2,0,1.34,30.89,0
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2012,,4,0,20,24,383,113,741558,1.04,6.27,0,5.39,32.36,0
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2011,,4,0,19,23,295,86,549941,1.36,7.8,0,7.27,41.82,0
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2010,,1,0,16,17,324,85,711714,0.31,5.25,0,1.41,23.89,0
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2009,,2,0,14,16,319,89,504866,0.63,5.02,0,3.96,31.69,0
"Interprovincial Infrastructure (Bridges, Tunnels, Canals, Causeways)",2008,,3,0,21,24,304,70,544863,0.99,7.89,0,5.51,44.05,0
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2020,Off-board,206,1,239,446,9629,2526,23787324,2.15,4.63,10.39,8.7,18.75,42.04
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2020,On-board,4,0,1,5,35,0,69877,11.43,14.29,0,57.24,71.55,0
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2020,Total,210,1,240,451,9664,2526,23857201,2.18,4.67,10.35,8.84,18.9,41.92
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2019,Off-board,335,1,205,541,12460,3463,30504118,2.7,4.34,8.03,11.01,17.74,32.78
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2019,On-board,7,0,0,7,110,0,226094,6.36,6.36,0,30.96,30.96,0
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2019,Total,342,1,205,548,12570,3463,30730212,2.73,4.36,7.96,11.16,17.83,32.54
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2018,,355,2,382,739,7949,1908,16893871,4.49,9.3,25.16,21.13,43.74,118.39
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2017,,255,0,521,776,6892,1654,"14,255,546",3.7,11.26,0,17.89,54.43,0
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2016,,290,1,645,936,7923,1529,14953163,3.67,11.81,12.62,19.46,62.6,66.88
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2015,,293,0,722,1015,7331,1879,15367858,4,13.85,0,19.07,66.05,0
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2014,,306,0,605,911,7088,1821,14702610,4.32,12.85,0,20.81,61.96,0
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2013,,281,2,377,660,5431,1268,11091031,5.21,12.15,36.83,25.52,59.51,180.33
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2012,,306,0,1178,1484,5053,1067,10537252,6.06,29.37,0,29.04,140.83,0
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2011,,268,0,1078,1346,4412,829,9436372,6.07,30.51,0,28.4,142.64,0
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2010,,252,3,1114,1369,4467,1057,9652675,5.71,30.65,67.16,26.42,141.83,310.79
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2009,,113,1,518,632,2534,642,5790164,4.5,24.94,39.46,19.69,109.15,172.71
Long shoring/Stevedoring/Port/Harbour Operations/Pilotage,2008,,269,0,780,1049,4083,947,8267951,6.59,25.69,0,32.54,126.88,0
Pipeline Transportation,2020,,9,0,14,23,5153,3869,10282555,0.17,0.45,0,0.88,2.24,0
Pipeline Transportation,2019,,8,0,9,17,6018,4865,11054325,0.13,0.28,0,0.72,1.54,0
Pipeline Transportation,2018,,16,1,27,44,6853,4974,13549287,0.25,0.64,14.59,1.25,3.25,73.8
Pipeline Transportation,2017,,13,0,25,38,7503,5445,"16,033,931",0.17,0.51,0,0.81,2.37,0
Pipeline Transportation,2016,,24,0,19,43,9117,6530,17627642,0.26,0.47,0,1.36,2.44,0
Pipeline Transportation,2015,,16,0,30,46,8995,6728,18285024,0.18,0.51,0,0.88,2.52,0
Pipeline Transportation,2014,,26,0,46,72,9115,6722,17933259,0.29,0.79,0,1.45,4.01,0
Pipeline Transportation,2013,,9,0,40,49,8317,5917,15080545,0.11,0.59,0,0.6,3.25,0
Pipeline Transportation,2012,,9,0,36,45,8281,6130,14119313,0.11,0.54,0,0.64,3.19,0
Pipeline Transportation,2011,,10,0,69,79,5430,4057,9175340,0.18,1.45,0,1.09,8.61,0
Pipeline Transportation,2010,,9,0,24,33,5598,4269,10258656,0.16,0.59,0,0.88,3.22,0
Pipeline Transportation,2009,,4,0,12,16,2112,1518,3604277,0.19,0.76,0,1.11,4.44,0
Pipeline Transportation,2008,,11,1,13,25,3662,2208,6590472,0.33,0.68,27.31,1.82,3.79,151.73
Postal Services/Postal Contractors,2020,,2000,1,1225,3226,56953,4056,93984745,3.51,5.66,1.76,21.29,34.32,10.64
Postal Services/Postal Contractors,2019,,2990,0,1647,4637,56222,3916,92690452,5.32,8.25,0,32.26,50.03,0
Postal Services/Postal Contractors,2018,,3434,0,1622,5056,54969,3802,90808759,6.25,9.2,0,37.82,55.68,0
Postal Services/Postal Contractors,2017,,3679,1,1567,5247,53876,3846,"88,918,051",6.83,9.74,1.86,41.39,59.01,11.25
Postal Services/Postal Contractors,2016,,3699,1,1638,5338,53499,3864,88357980,6.92,9.98,1.87,41.88,60.41,11.32
Postal Services/Postal Contractors,2015,,3927,2,1798,5727,54472,4075,90009652,7.21,10.51,3.67,43.65,63.63,22.22
Postal Services/Postal Contractors,2014,,3886,0,2003,5889,54900,4034,90912478,7.08,10.73,0,42.74,64.78,0
Postal Services/Postal Contractors,2013,,2019,2,5850,7871,54151,3999,80293580,3.73,14.54,3.69,25.17,98.03,24.91
Postal Services/Postal Contractors,2012,,2396,0,6029,8425,57892,4304,85893404,4.14,14.55,0,27.9,98.09,0
Postal Services/Postal Contractors,2011,,2852,0,4586,7438,58344,4489,86469160,4.89,12.75,0,32.98,86.02,0
Postal Services/Postal Contractors,2010,,3008,0,3128,6136,60124,4543,86780055,5,10.21,0,34.66,70.71,0
Postal Services/Postal Contractors,2009,,3481,1,3168,6650,61842,4910,89027963,5.63,10.75,1.62,39.11,74.7,11.23
Postal Services/Postal Contractors,2008,,4470,3,3691,8164,62251,5345,93403948,7.19,13.11,4.82,47.89,87.41,32.12
Rail Transportation,2020,Off-board,212,0,173,385,21583,6711,43727470,0.98,1.78,0,4.85,8.8,0
Rail Transportation,2020,On-board,199,2,47,248,9624,0,19662453,2.09,2.58,20.78,10.22,12.61,101.72
Rail Transportation,2020,Total,411,2,220,633,31207,6711,63389923,1.32,2.03,6.41,6.52,9.99,31.55
Rail Transportation,2019,Off-board,380,0,219,599,26238,7950,52955079,1.45,2.28,0,7.18,11.31,0
Rail Transportation,2019,On-board,346,5,87,438,8570,0,16712246,4.1,5.11,58.34,21,26.21,299.18
Rail Transportation,2019,Total,726,5,306,1037,34808,7950,69667325,2.1,2.98,14.36,10.49,14.89,71.77
Rail Transportation,2018,Off-board,334,0,230,564,25576,8868,"55,178,843",1.31,2.21,0,6.05,10.22,0
Rail Transportation,2018,On-board,309,3,79,391,9138,0,"19,030,750",3.41,4.28,32.83,16.39,20.55,157.64
Rail Transportation,2018,Total,643,3,309,955,34714,8868,74209593,1.86,2.75,8.64,8.71,12.87,40.43
Rail Transportation,2017,Off-board,253,0,666,919,18789,2326,43197495,1.35,4.89,0,5.86,21.27,0
Rail Transportation,2017,On-board,306,2,360,668,10638,0,20059361,2.9,6.28,18.8,15.35,33.3,99.7
Rail Transportation,2017,Total,559,2,1026,1587,29427,2326,63256856,1.91,5.39,6.8,8.87,25.09,31.62
Rail Transportation,2016,Off-board,268,1,580,849,20219,6533,42005186,1.33,4.2,4.95,6.4,20.21,23.81
Rail Transportation,2016,On-board,235,0,648,883,9819,0,20076111,2.39,8.99,0,11.71,43.98,0
Rail Transportation,2016,Total,503,1,1228,1732,30038,6533,62081297,1.68,5.77,3.33,8.12,27.9,16.11
Rail Transportation,2015,Off-board,258,0,563,821,22231,6919,44846513,1.16,3.69,0,5.75,18.31,0
Rail Transportation,2015,On-board,292,1,577,870,10604,0,21560414,2.76,8.2,9.43,13.59,40.35,46.38
Rail Transportation,2015,Total,550,1,1140,1691,32835,6919,66406927,1.68,5.15,3.05,8.3,25.46,15.06
Rail Transportation,2014,Off-board,327,1,307,635,27263,2592,54296198,1.2,2.33,3.67,6.04,11.7,18.42
Rail Transportation,2014,On-board,314,2,480,796,18956,0,37791446,1.67,4.2,10.55,8.36,21.06,52.92
Rail Transportation,2014,Total,641,3,787,1431,46219,2592,92087644,1.39,3.1,6.49,6.99,15.54,32.58
Rail Transportation,2013,Off-board,330,1,498,829,20357,6200,40359149,1.63,4.07,4.91,8.2,20.54,24.78
Rail Transportation,2013,On-board,318,1,641,960,12087,0,23976399,2.64,7.94,8.27,13.3,40.04,41.71
Rail Transportation,2013,Total,648,2,1139,1789,32444,6200,64335548,2,5.51,6.16,10.1,27.81,31.09
Rail Transportation,2012,Off-board,290,0,761,1051,22507,1531,44472921,1.29,4.67,0,6.52,23.63,0
Rail Transportation,2012,On-board,300,4,747,1051,12837,0,25923554,2.37,8.19,31.16,11.73,40.54,154.3
Rail Transportation,2012,Total,590,4,1508,2102,35344,1531,70396475,1.68,5.95,11.32,8.44,29.86,56.82
Rail Transportation,2011,Off-board,457,1,598,1056,29559,12886,59060323,1.55,3.57,3.38,7.75,17.88,16.93
Rail Transportation,2011,On-board,413,0,595,1008,19153,0,38322983,2.16,5.26,0,10.78,26.3,0
Rail Transportation,2011,Total,870,1,1193,2064,48712,12886,97383306,1.79,4.24,2.05,8.94,21.19,10.27
Rail Transportation,2010,Off-board,442,0,448,890,30961,6808,61635636,1.43,2.87,0,7.17,14.44,0
Rail Transportation,2010,On-board,382,1,558,941,14766,0,29301014,2.59,6.37,6.77,13.07,32.11,34.13
Rail Transportation,2010,Total,824,1,1006,1831,45727,6808,90936650,1.8,4,2.19,9.07,20.13,11
Rail Transportation,2009,Off-board,445,0,1338,1783,26166,1262,60019946,1.7,6.81,0,7.41,29.71,0
Rail Transportation,2009,On-board,354,0,931,1285,14594,0,30729126,2.43,8.8,0,11.52,41.82,0
Rail Transportation,2009,Total,799,0,2269,3068,40760,1262,90749072,1.96,7.53,0,8.8,33.81,0
Rail Transportation,2008,Off-board,241,1,641,883,12925,1211,"25,710,377",1.87,6.83,7.74,9.41,34.34,38.89
Rail Transportation,2008,On-board,232,1,680,913,5781,0,11520015,4.03,15.79,17.3,20.23,79.25,86.81
Rail Transportation,2008,Total,473,2,1321,1796,18706,1211,37230392,2.54,9.6,10.69,12.76,48.24,53.72
Road Transportation,2020,,6135,35,5905,12075,165061,41075,345033379,3.74,7.32,21.2,17.88,35,101.44
Road Transportation,2019,,6908,37,6912,13857,151072,38248,327645476,4.6,9.17,24.49,21.2,42.29,112.93
Road Transportation,2018,,7171,47,7743,14961,170091,43604,365313417,4.24,8.8,27.63,19.76,40.95,128.66
Road Transportation,2017,,6209,31,6827,13067,189139,39970,340650414,3.3,6.91,16.39,18.32,38.36,91
Road Transportation,2016,,6704,40,8243,14987,173738,42749,414800157,3.88,8.63,23.02,16.26,36.13,96.43
Road Transportation,2015,,6738,38,7610,14386,179511,43774,385196196,3.77,8.01,21.17,17.59,37.35,98.65
Road Transportation,2014,,6870,23,9045,15938,177207,41309,375035325,3.89,8.99,12.98,18.38,42.5,61.33
Road Transportation,2013,,6670,31,9145,15846,174488,38056,362830005,3.84,9.08,17.77,18.47,43.67,85.44
Road Transportation,2012,,7306,29,8041,15376,179866,41705,366447510,4.08,8.55,16.12,20.02,41.96,79.14
Road Transportation,2011,,6556,36,7215,13807,162500,34418,302498099,4.06,8.5,22.15,21.79,45.64,119.01
Road Transportation,2010,,5785,19,7405,13209,158317,33552,"311,169,211",3.67,8.34,12,18.65,42.45,61.06
Road Transportation,2009,,6087,30,6880,12997,140952,31561,"279,211,622",4.34,9.22,21.28,21.91,46.55,107.45
Road Transportation,2008,,7776,28,9097,16901,166237,38368,342474280,4.69,10.17,16.84,22.79,49.35,81.76
Water Transportation (Shipping and Ferries),2020,Off-board,116,0,154,270,7666,4048,15509473,1.51,3.52,0,7.48,17.41,0
Water Transportation (Shipping and Ferries),2020,On-board,117,0,225,342,6356,0,13748171,1.84,5.38,0,8.51,24.88,0
Water Transportation (Shipping and Ferries),2020,Total,233,0,379,612,14022,4048,29257644,1.66,4.36,0,7.96,20.92,0
Water Transportation (Shipping and Ferries),2019,Off-board,126,0,120,246,6478,3766,13000699,1.95,3.8,0,9.69,18.92,0
Water Transportation (Shipping and Ferries),2019,On-board,143,1,188,332,6085,0,13706466,2.37,5.46,16.43,10.51,24.22,72.96
Water Transportation (Shipping and Ferries),2019,Total,269,1,308,578,12563,3766,26707165,2.15,4.6,7.96,10.11,21.64,37.44
Water Transportation (Shipping and Ferries),2018,Off-board,246,1,424,671,17333,11394,34773100,1.43,3.87,5.77,7.1,19.3,28.76
Water Transportation (Shipping and Ferries),2018,On-board,318,1,461,780,8121,0,17828317,3.93,9.6,12.31,17.89,43.75,56.09
Water Transportation (Shipping and Ferries),2018,Total,564,2,885,1451,25454,11394,52601417,2.22,5.7,7.86,10.76,27.58,38.02
Water Transportation (Shipping and Ferries),2017,Off-board,199,0,434,633,16474,11183,32963404,1.21,3.84,0,6.04,19.2,0
Water Transportation (Shipping and Ferries),2017,On-board,279,0,467,746,7728,0,16428725,3.61,9.65,0,16.98,45.41,0
Water Transportation (Shipping and Ferries),2017,Total,478,0,901,1379,24202,11183,49392129,1.98,5.7,0,9.68,27.92,0
Water Transportation (Shipping and Ferries),2016,Off-board,295,0,488,783,16878,10172,34032530,1.75,4.64,0,8.67,23.01,0
Water Transportation (Shipping and Ferries),2016,On-board,306,3,450,759,7084,0,14700326,4.36,10.71,42.35,21.02,51.63,204.08
Water Transportation (Shipping and Ferries),2016,Total,601,3,938,1542,23962,10172,48732856,2.52,6.44,12.52,12.39,31.64,61.56
Water Transportation (Shipping and Ferries),2015,Off-board,247,1,543,791,17115,10546,32293999,1.45,4.62,5.84,7.68,24.49,30.97
Water Transportation (Shipping and Ferries),2015,On-board,298,0,542,840,7563,0,15957826,3.94,11.11,0,18.67,52.64,0
Water Transportation (Shipping and Ferries),2015,Total,545,1,1085,1631,24678,10546,48251825,2.21,6.61,4.05,11.32,33.8,20.72
Water Transportation (Shipping and Ferries),2014,Off-board,255,0,969,1224,16289,11524,30745593,1.57,7.51,0,8.29,39.81,0
Water Transportation (Shipping and Ferries),2014,On-board,360,0,746,1106,9454,0,19593631,3.81,11.7,0,18.37,56.45,0
Water Transportation (Shipping and Ferries),2014,Total,615,0,1715,2330,25743,11524,50339224,2.39,9.05,0,12.22,46.29,0
Water Transportation (Shipping and Ferries),2013,Off-board,360,0,775,1135,16784,11667,31409843,2.14,6.76,0,11.46,36.14,0
Water Transportation (Shipping and Ferries),2013,On-board,362,2,706,1070,7801,0,15599668,4.67,13.72,25.64,23.33,68.59,128.21
Water Transportation (Shipping and Ferries),2013,Total,722,2,1481,2205,24585,11667,47009511,2.94,8.97,8.14,15.4,46.91,42.54
Water Transportation (Shipping and Ferries),2012,Off-board,486,0,847,1333,18682,9333,34010792,2.6,7.14,0,14.29,39.19,0
Water Transportation (Shipping and Ferries),2012,On-board,346,2,713,1061,9008,0,20036663,3.86,11.78,22.2,17.37,52.95,99.82
Water Transportation (Shipping and Ferries),2012,Total,832,2,1560,2394,27690,9333,54047455,3.01,8.65,7.22,15.43,44.29,37
Water Transportation (Shipping and Ferries),2011,Off-board,332,0,559,891,8688,3265,16528431,3.82,10.26,0,20.09,53.91,0
Water Transportation (Shipping and Ferries),2011,On-board,349,1,475,825,7605,0,15869478,4.6,10.85,13.15,22.05,51.99,63.01
Water Transportation (Shipping and Ferries),2011,Total,681,1,1034,1716,16293,3265,32397909,4.19,10.53,6.14,21.05,52.97,30.87
Water Transportation (Shipping and Ferries),2010,Off-board,484,1,822,1307,11824,3649,21869923,4.1,11.05,8.46,22.18,59.76,45.72
Water Transportation (Shipping and Ferries),2010,On-board,263,0,629,892,7241,0,14176548,3.63,12.32,0,18.55,62.92,0
Water Transportation (Shipping and Ferries),2010,Total,747,1,1451,2199,19065,3649,36046471,3.92,11.53,5.25,20.75,61,27.74
Water Transportation (Shipping and Ferries),2009,Off-board,318,0,751,1069,8253,2604,14867589,3.85,12.95,0,21.39,71.9,0
Water Transportation (Shipping and Ferries),2009,On-board,295,3,429,727,6212,0,12498848,4.8,11.7,48.29,23.84,58.17,240.02
Water Transportation (Shipping and Ferries),2009,Total,613,3,1180,1796,14465,2604,27366437,4.26,12.42,20.74,22.51,65.63,109.62
Water Transportation (Shipping and Ferries),2008,Off-board,328,1,959,1288,9173,3642,15708989,3.59,14.04,10.9,20.94,81.99,63.66
Water Transportation (Shipping and Ferries),2008,On-board,336,1,649,986,7882,0,16184291,4.28,12.51,12.69,20.82,60.92,61.79
Water Transportation (Shipping and Ferries),2008,Total,664,2,1608,2274,17055,3642,31893280,3.91,13.33,11.73,20.88,71.3,62.71
CANADA,2020,,15799,49,21176,37024,1101762,711655,2173633125,1.44,3.36,4.45,7.29,17.03,22.54
CANADA,2019,,20850,66,26383,47299,1122938,721069,2226604477,1.86,4.21,5.88,9.39,21.24,29.64
CANADA,2018,,21378,79,27909,49366,1160308,736044,2307162499,1.85,4.25,6.81,9.3,21.4,34.24
CANADA,2017,,19855,61,27884,47800,1126754,693376,2172126588,1.77,4.24,5.41,9.17,22.01,28.08
CANADA,2016,,20097,67,34063,54227,1105162,684966,2209272299,1.82,4.91,6.06,9.13,24.55,30.33
CANADA,2015,,20963,59,31367,52389,1137700,704086,2231273802,1.85,4.6,5.19,9.42,23.48,26.44
CANADA,2014,,20539,50,33442,54031,1149922,684247,2226935511,1.79,4.7,4.35,9.25,24.26,22.45
CANADA,2013,,19212,58,36479,55749,1147055,709149,2199281352,1.68,4.86,5.06,8.76,25.35,26.37
CANADA,2012,,20738,48,40570,61356,1173165,707319,2220639212,1.77,5.23,4.09,9.36,27.63,21.62
CANADA,2011,,20141,60,35737,55938,1165838,688273,2141934650,1.73,4.8,5.15,9.43,26.12,28.01
CANADA,2010,,18956,40,32519,51515,1129477,686238,2051908592,1.68,4.56,3.54,9.26,25.11,19.49
CANADA,2009,,19737,48,34335,54120,1053017,618986,1982500334,1.88,5.14,4.56,9.98,27.3,24.21
CANADA,2008,,22881,50,36894,59825,1048253,619508,1992440734,2.19,5.71,4.77,11.51,30.03,25.09
